# owner	name	descriptor	static	template	dataArg	slot	callbacks	resultSlot
# Collection, Map, Queue and views
java/util/stream/Stream	reduce	(Ljava/lang/Object;Ljava/util/function/BinaryOperator;)Ljava/lang/Object;	false	CALLBACK_RESULT	-	-	1@java/util/function/BinaryOperator#apply#(Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@arg:0,slot:STREAM_ELEMENT	STREAM_ELEMENT
java/util/stream/Stream	anyMatch	(Ljava/util/function/Predicate;)Z	false	CALLBACK_VOID	-	-	0@java/util/function/Predicate#test#(Ljava/lang/Object;)Z#INTERFACE@slot:STREAM_ELEMENT	-
java/util/stream/Stream	allMatch	(Ljava/util/function/Predicate;)Z	false	CALLBACK_VOID	-	-	0@java/util/function/Predicate#test#(Ljava/lang/Object;)Z#INTERFACE@slot:STREAM_ELEMENT	-
java/util/stream/Stream	findFirst	()Ljava/util/Optional;	false	COPY_NEW	-	STREAM_ELEMENT	-	OPTIONAL_VALUE
java/util/stream/Stream	findAny	()Ljava/util/Optional;	false	COPY_NEW	-	STREAM_ELEMENT	-	OPTIONAL_VALUE
java/util/stream/Stream	toList	()Ljava/util/List;	false	COPY_NEW	-	STREAM_ELEMENT	-	COLLECTION_ELEMENT
java/util/Optional	empty	()Ljava/util/Optional;	true	RETURN_NEW	-	-	-	-
java/util/Optional	of	(Ljava/lang/Object;)Ljava/util/Optional;	true	STORE_RETURN_NEW	0	OPTIONAL_VALUE	-	-
java/util/Optional	ofNullable	(Ljava/lang/Object;)Ljava/util/Optional;	true	STORE_RETURN_NEW	0	OPTIONAL_VALUE	-	-
java/util/Optional	get	()Ljava/lang/Object;	false	LOAD	-	OPTIONAL_VALUE	-	-
java/util/Optional	orElse	(Ljava/lang/Object;)Ljava/lang/Object;	false	LOAD	-	OPTIONAL_VALUE	-	-
java/util/Optional	orElseGet	(Ljava/util/function/Supplier;)Ljava/lang/Object;	false	CALLBACK_RESULT	-	-	0@java/util/function/Supplier#get#()Ljava/lang/Object;#INTERFACE@-	OPTIONAL_VALUE
java/util/Optional	ifPresent	(Ljava/util/function/Consumer;)V	false	CALLBACK_VOID	-	-	0@java/util/function/Consumer#accept#(Ljava/lang/Object;)V#INTERFACE@slot:OPTIONAL_VALUE	-
java/util/Optional	filter	(Ljava/util/function/Predicate;)Ljava/util/Optional;	false	CALLBACK_THIS	-	-	0@java/util/function/Predicate#test#(Ljava/lang/Object;)Z#INTERFACE@slot:OPTIONAL_VALUE	-
java/util/Optional	map	(Ljava/util/function/Function;)Ljava/util/Optional;	false	CALLBACK_NEW	-	-	0@java/util/function/Function#apply#(Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@slot:OPTIONAL_VALUE	OPTIONAL_VALUE
java/util/Optional	flatMap	(Ljava/util/function/Function;)Ljava/util/Optional;	false	CALLBACK_NEW	-	-	0@java/util/function/Function#apply#(Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@slot:OPTIONAL_VALUE	-

# Text, regular expressions and general values
java/lang/String	valueOf	(Ljava/lang/Object;)Ljava/lang/String;	true	CALLBACK_RESULT	-	-	0@java/lang/Object#toString#()Ljava/lang/String;#VIRTUAL@-	-
java/lang/String	concat	(Ljava/lang/String;)Ljava/lang/String;	false	RETURN_NEW	-	-	-	-
java/lang/String	substring	(I)Ljava/lang/String;	false	RETURN_NEW	-	-	-	-
java/lang/String	substring	(II)Ljava/lang/String;	false	RETURN_NEW	-	-	-	-
java/lang/String	replace	(Ljava/lang/CharSequence;Ljava/lang/CharSequence;)Ljava/lang/String;	false	RETURN_NEW	-	-	-	-
java/lang/String	split	(Ljava/lang/String;)[Ljava/lang/String;	false	RETURN_NEW	-	-	-	-
java/lang/String	getBytes	()[B	false	RETURN_NEW	-	-	-	-
java/lang/StringBuilder	append	(Ljava/lang/Object;)Ljava/lang/StringBuilder;	false	CALLBACK_THIS	-	-	0@java/lang/Object#toString#()Ljava/lang/String;#VIRTUAL@-	-
java/lang/StringBuilder	append	(Ljava/lang/String;)Ljava/lang/StringBuilder;	false	RETURN_THIS	-	-	-	-
java/lang/StringBuilder	append	(Ljava/lang/CharSequence;)Ljava/lang/StringBuilder;	false	RETURN_THIS	-	-	-	-
java/lang/StringBuilder	insert	(ILjava/lang/Object;)Ljava/lang/StringBuilder;	false	CALLBACK_THIS	-	-	1@java/lang/Object#toString#()Ljava/lang/String;#VIRTUAL@-	-
java/lang/StringBuilder	delete	(II)Ljava/lang/StringBuilder;	false	RETURN_THIS	-	-	-	-
java/lang/StringBuilder	reverse	()Ljava/lang/StringBuilder;	false	RETURN_THIS	-	-	-	-
java/lang/StringBuilder	toString	()Ljava/lang/String;	false	RETURN_NEW	-	-	-	-
java/lang/StringBuffer	append	(Ljava/lang/Object;)Ljava/lang/StringBuffer;	false	CALLBACK_THIS	-	-	0@java/lang/Object#toString#()Ljava/lang/String;#VIRTUAL@-	-
java/lang/StringBuffer	toString	()Ljava/lang/String;	false	RETURN_NEW	-	-	-	-
java/util/Objects	toString	(Ljava/lang/Object;)Ljava/lang/String;	true	CALLBACK_RESULT	-	-	0@java/lang/Object#toString#()Ljava/lang/String;#VIRTUAL@-	-
java/util/Objects	requireNonNull	(Ljava/lang/Object;)Ljava/lang/Object;	true	RETURN_ARG	0	-	-	-
java/util/regex/Pattern	compile	(Ljava/lang/String;)Ljava/util/regex/Pattern;	true	RETURN_NEW	-	-	-	-
java/util/regex/Pattern	matcher	(Ljava/lang/CharSequence;)Ljava/util/regex/Matcher;	false	RETURN_NEW	-	-	-	-
java/util/regex/Matcher	find	()Z	false	NO_OP	-	-	-	-
java/util/regex/Matcher	group	()Ljava/lang/String;	false	RETURN_NEW	-	-	-	-
java/util/regex/Matcher	replaceAll	(Ljava/lang/String;)Ljava/lang/String;	false	RETURN_NEW	-	-	-	-
java/util/UUID	randomUUID	()Ljava/util/UUID;	true	RETURN_NEW	-	-	-	-
java/math/BigDecimal	add	(Ljava/math/BigDecimal;)Ljava/math/BigDecimal;	false	RETURN_NEW	-	-	-	-
java/math/BigDecimal	multiply	(Ljava/math/BigDecimal;)Ljava/math/BigDecimal;	false	RETURN_NEW	-	-	-	-
java/math/BigInteger	add	(Ljava/math/BigInteger;)Ljava/math/BigInteger;	false	RETURN_NEW	-	-	-	-
java/util/Locale	forLanguageTag	(Ljava/lang/String;)Ljava/util/Locale;	true	RETURN_NEW	-	-	-	-
java/util/ResourceBundle	getBundle	(Ljava/lang/String;)Ljava/util/ResourceBundle;	true	RETURN_NEW	-	-	-	-

# Date and time
java/time/Instant	now	()Ljava/time/Instant;	true	RETURN_NEW	-	-	-	-
java/time/Instant	ofEpochMilli	(J)Ljava/time/Instant;	true	RETURN_NEW	-	-	-	-
java/time/Instant	plus	(Ljava/time/temporal/TemporalAmount;)Ljava/time/Instant;	false	RETURN_NEW	-	-	-	-
java/time/LocalDate	now	()Ljava/time/LocalDate;	true	RETURN_NEW	-	-	-	-
java/time/LocalDate	of	(III)Ljava/time/LocalDate;	true	RETURN_NEW	-	-	-	-
java/time/LocalDate	plusDays	(J)Ljava/time/LocalDate;	false	RETURN_NEW	-	-	-	-
java/time/LocalDate	with	(Ljava/time/temporal/TemporalAdjuster;)Ljava/time/LocalDate;	false	CALLBACK_RESULT	-	-	0@java/time/temporal/TemporalAdjuster#adjustInto#(Ljava/time/temporal/Temporal;)Ljava/time/temporal/Temporal;#INTERFACE@this	-
java/time/LocalDate	query	(Ljava/time/temporal/TemporalQuery;)Ljava/lang/Object;	false	CALLBACK_RESULT	-	-	0@java/time/temporal/TemporalQuery#queryFrom#(Ljava/time/temporal/TemporalAccessor;)Ljava/lang/Object;#INTERFACE@this	-
java/time/LocalDateTime	now	()Ljava/time/LocalDateTime;	true	RETURN_NEW	-	-	-	-
java/time/ZonedDateTime	now	()Ljava/time/ZonedDateTime;	true	RETURN_NEW	-	-	-	-
java/time/Duration	ofMillis	(J)Ljava/time/Duration;	true	RETURN_NEW	-	-	-	-
java/time/Period	ofDays	(I)Ljava/time/Period;	true	RETURN_NEW	-	-	-	-
java/time/format/DateTimeFormatter	format	(Ljava/time/temporal/TemporalAccessor;)Ljava/lang/String;	false	RETURN_NEW	-	-	-	-
java/util/Date	<init>	()V	false	NO_OP	-	-	-	-
java/util/Calendar	getInstance	()Ljava/util/Calendar;	true	RETURN_NEW	-	-	-	-
java/text/DateFormat	format	(Ljava/util/Date;)Ljava/lang/String;	false	RETURN_NEW	-	-	-	-

# Locks, asynchronous execution and mutable holders
java/util/concurrent/locks/Lock	lock	()V	false	NO_OP	-	-	-	-
java/util/concurrent/locks/Lock	unlock	()V	false	NO_OP	-	-	-	-
java/util/concurrent/locks/Lock	tryLock	()Z	false	NO_OP	-	-	-	-
java/util/concurrent/locks/Lock	newCondition	()Ljava/util/concurrent/locks/Condition;	false	RETURN_NEW	-	-	-	-
java/util/concurrent/locks/ReadWriteLock	readLock	()Ljava/util/concurrent/locks/Lock;	false	RETURN_NEW	-	-	-	-
java/util/concurrent/locks/ReadWriteLock	writeLock	()Ljava/util/concurrent/locks/Lock;	false	RETURN_NEW	-	-	-	-
java/util/concurrent/locks/ReentrantLock	lock	()V	false	NO_OP	-	-	-	-
java/util/concurrent/locks/ReentrantLock	unlock	()V	false	NO_OP	-	-	-	-
java/util/concurrent/locks/ReentrantLock	tryLock	()Z	false	NO_OP	-	-	-	-
java/util/concurrent/locks/ReentrantLock	newCondition	()Ljava/util/concurrent/locks/Condition;	false	RETURN_NEW	-	-	-	-
java/lang/ThreadLocal	set	(Ljava/lang/Object;)V	false	STORE	0	THREAD_LOCAL_VALUE	-	-
java/lang/ThreadLocal	get	()Ljava/lang/Object;	false	LOAD	-	THREAD_LOCAL_VALUE	-	-
java/util/concurrent/atomic/AtomicReference	set	(Ljava/lang/Object;)V	false	STORE	0	ATOMIC_VALUE	-	-
java/util/concurrent/atomic/AtomicReference	get	()Ljava/lang/Object;	false	LOAD	-	ATOMIC_VALUE	-	-
java/util/concurrent/atomic/AtomicReference	getAndSet	(Ljava/lang/Object;)Ljava/lang/Object;	false	STORE	0	ATOMIC_VALUE	-	-
java/util/concurrent/atomic/AtomicReference	updateAndGet	(Ljava/util/function/UnaryOperator;)Ljava/lang/Object;	false	CALLBACK_RESULT	-	-	0@java/util/function/UnaryOperator#apply#(Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@slot:ATOMIC_VALUE	ATOMIC_VALUE
java/util/concurrent/Executor	execute	(Ljava/lang/Runnable;)V	false	CALLBACK_VOID	-	-	0@java/lang/Runnable#run#()V#INTERFACE@-	-
java/util/concurrent/ExecutorService	submit	(Ljava/util/concurrent/Callable;)Ljava/util/concurrent/Future;	false	CALLBACK_NEW	-	-	0@java/util/concurrent/Callable#call#()Ljava/lang/Object;#INTERFACE@-	FUTURE_RESULT
java/util/concurrent/ExecutorService	submit	(Ljava/lang/Runnable;)Ljava/util/concurrent/Future;	false	CALLBACK_NEW	-	-	0@java/lang/Runnable#run#()V#INTERFACE@-	-
java/util/concurrent/Future	get	()Ljava/lang/Object;	false	LOAD	-	FUTURE_RESULT	-	-
java/util/concurrent/FutureTask	<init>	(Ljava/util/concurrent/Callable;)V	false	CALLBACK_VOID	-	-	0@java/util/concurrent/Callable#call#()Ljava/lang/Object;#INTERFACE@-	FUTURE_RESULT
java/util/concurrent/FutureTask	get	()Ljava/lang/Object;	false	LOAD	-	FUTURE_RESULT	-	-
java/util/concurrent/CompletableFuture	supplyAsync	(Ljava/util/function/Supplier;)Ljava/util/concurrent/CompletableFuture;	true	CALLBACK_NEW	-	-	0@java/util/function/Supplier#get#()Ljava/lang/Object;#INTERFACE@-	FUTURE_RESULT
java/util/concurrent/CompletableFuture	runAsync	(Ljava/lang/Runnable;)Ljava/util/concurrent/CompletableFuture;	true	CALLBACK_NEW	-	-	0@java/lang/Runnable#run#()V#INTERFACE@-	-
java/util/concurrent/CompletableFuture	thenApply	(Ljava/util/function/Function;)Ljava/util/concurrent/CompletableFuture;	false	CALLBACK_NEW	-	-	0@java/util/function/Function#apply#(Ljava/lang/Object;)Ljava/lang/Object;#INTERFACE@slot:FUTURE_RESULT	FUTURE_RESULT
java/util/concurrent/CompletableFuture	thenAccept	(Ljava/util/function/Consumer;)Ljava/util/concurrent/CompletableFuture;	false	CALLBACK_NEW	-	-	0@java/util/function/Consumer#accept#(Ljava/lang/Object;)V#INTERFACE@slot:FUTURE_RESULT	-
java/util/concurrent/CompletableFuture	thenRun	(Ljava/lang/Runnable;)Ljava/util/concurrent/CompletableFuture;	false	CALLBACK_NEW	-	-	0@java/lang/Runnable#run#()V#INTERFACE@-	-
java/util/concurrent/CompletableFuture	join	()Ljava/lang/Object;	false	LOAD	-	FUTURE_RESULT	-	-
java/util/concurrent/CyclicBarrier	<init>	(ILjava/lang/Runnable;)V	false	CALLBACK_VOID	-	-	1@java/lang/Runnable#run#()V#INTERFACE@-	-
java/util/concurrent/CountDownLatch	await	()V	false	NO_OP	-	-	-	-
java/util/concurrent/CountDownLatch	countDown	()V	false	NO_OP	-	-	-	-
java/util/concurrent/Semaphore	acquire	()V	false	NO_OP	-	-	-	-
java/util/concurrent/Semaphore	release	()V	false	NO_OP	-	-	-	-

# I/O, NIO, networking, encoding and compression
java/io/InputStream	read	([B)I	false	STORE	0	BYTE_BUFFER	-	-
java/io/OutputStream	write	([B)V	false	STORE	0	BYTE_BUFFER	-	-
java/io/Reader	read	([C)I	false	STORE	0	CHAR_BUFFER	-	-
java/io/Writer	write	([C)V	false	STORE	0	CHAR_BUFFER	-	-
java/io/ByteArrayInputStream	<init>	([B)V	false	STORE	0	BYTE_BUFFER	-	-
java/io/ByteArrayOutputStream	write	([BII)V	false	STORE	0	BYTE_BUFFER	-	-
java/io/ByteArrayOutputStream	toByteArray	()[B	false	LOAD	-	BYTE_BUFFER	-	-
java/io/StringReader	<init>	(Ljava/lang/String;)V	false	STORE	0	CHAR_BUFFER	-	-
java/io/StringWriter	write	(Ljava/lang/String;)V	false	STORE	0	CHAR_BUFFER	-	-
java/io/StringWriter	toString	()Ljava/lang/String;	false	LOAD	-	CHAR_BUFFER	-	-
java/io/BufferedReader	readLine	()Ljava/lang/String;	false	LOAD	-	CHAR_BUFFER	-	-
java/nio/file/Paths	get	(Ljava/lang/String;[Ljava/lang/String;)Ljava/nio/file/Path;	true	RETURN_NEW	-	-	-	-
java/nio/file/Path	resolve	(Ljava/lang/String;)Ljava/nio/file/Path;	false	RETURN_NEW	-	-	-	-
java/nio/file/Files	readAllBytes	(Ljava/nio/file/Path;)[B	true	RETURN_NEW	-	-	-	-
java/nio/file/Files	write	(Ljava/nio/file/Path;[B[Ljava/nio/file/OpenOption;)Ljava/nio/file/Path;	true	STORE	1	BYTE_BUFFER	-	-
java/nio/file/Files	lines	(Ljava/nio/file/Path;)Ljava/util/stream/Stream;	true	RESOURCE_STREAM	-	-	-	-
java/nio/file/Files	list	(Ljava/nio/file/Path;)Ljava/util/stream/Stream;	true	RESOURCE_STREAM	-	-	-	-
java/nio/file/Files	walk	(Ljava/nio/file/Path;[Ljava/nio/file/FileVisitOption;)Ljava/util/stream/Stream;	true	RESOURCE_STREAM	-	-	-	-
java/nio/file/Files	walkFileTree	(Ljava/nio/file/Path;Ljava/nio/file/FileVisitor;)Ljava/nio/file/Path;	true	FILE_VISITOR	1	-	-	-
java/nio/ByteBuffer	allocate	(I)Ljava/nio/ByteBuffer;	true	RETURN_NEW	-	-	-	-
java/nio/ByteBuffer	wrap	([B)Ljava/nio/ByteBuffer;	true	STORE_RETURN_NEW	0	BYTE_BUFFER	-	-
java/nio/ByteBuffer	put	([B)Ljava/nio/ByteBuffer;	false	STORE_RETURN_THIS	0	BYTE_BUFFER	-	-
java/nio/ByteBuffer	array	()[B	false	LOAD	-	BYTE_BUFFER	-	-
java/nio/charset/Charset	forName	(Ljava/lang/String;)Ljava/nio/charset/Charset;	true	RETURN_NEW	-	-	-	-
java/nio/charset/Charset	encode	(Ljava/lang/String;)Ljava/nio/ByteBuffer;	false	RETURN_NEW	-	-	-	-
java/net/URI	create	(Ljava/lang/String;)Ljava/net/URI;	true	RETURN_NEW	-	-	-	-
java/net/URI	resolve	(Ljava/lang/String;)Ljava/net/URI;	false	RETURN_NEW	-	-	-	-
java/net/URL	<init>	(Ljava/lang/String;)V	false	NO_OP	-	-	-	-
java/net/URL	openConnection	()Ljava/net/URLConnection;	false	RETURN_NEW	-	-	-	-
java/net/URLConnection	getInputStream	()Ljava/io/InputStream;	false	RETURN_NEW	-	-	-	-
java/util/Base64	getEncoder	()Ljava/util/Base64$Encoder;	true	RETURN_NEW	-	-	-	-
java/util/Base64	getDecoder	()Ljava/util/Base64$Decoder;	true	RETURN_NEW	-	-	-	-
java/util/Base64$Encoder	encode	([B)[B	false	RETURN_NEW	-	-	-	-
java/util/Base64$Decoder	decode	([B)[B	false	RETURN_NEW	-	-	-	-
java/util/zip/GZIPInputStream	<init>	(Ljava/io/InputStream;)V	false	NO_OP	-	-	-	-
java/util/zip/GZIPOutputStream	<init>	(Ljava/io/OutputStream;)V	false	NO_OP	-	-	-	-

# Java serialization
java/io/ObjectOutputStream	writeObject	(Ljava/lang/Object;)V	false	SERIALIZE_WRITE	-	-	-	-
java/io/ObjectInputStream	readObject	()Ljava/lang/Object;	false	SERIALIZE_READ	-	-	-	-
java/io/ObjectInputStream	registerValidation	(Ljava/io/ObjectInputValidation;I)V	false	SERIALIZE_VALIDATE	-	-	-	-

# Concrete collections, sorted/navigable views and concurrent collections
java/util/Set	add	(Ljava/lang/Object;)Z	false	STORE	0	COLLECTION_ELEMENT	-	-
java/util/SortedSet	first	()Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/SortedSet	last	()Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/NavigableSet	lower	(Ljava/lang/Object;)Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/NavigableSet	floor	(Ljava/lang/Object;)Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/NavigableSet	ceiling	(Ljava/lang/Object;)Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/NavigableSet	higher	(Ljava/lang/Object;)Ljava/lang/Object;	false	LOAD	-	COLLECTION_ELEMENT	-	-
java/util/SortedMap	firstKey	()Ljava/lang/Object;	false	LOAD	-	MAP_KEY	-	-
java/util/SortedMap	lastKey	()Ljava/lang/Object;	false	LOAD	-	MAP_KEY	-	-
java/util/NavigableMap	lowerKey	(Ljava/lang/Object;)Ljava/lang/Object;	false	LOAD	-	MAP_KEY	-	-
java/util/NavigableMap	floorKey	(Ljava/lang/Object;)Ljava/lang/Object;	false	LOAD	-	MAP_KEY	-	-
